Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert,walkscore,ws_link
750690398,75,48.871521,2.356887,IME Dysphasia,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,31,1980,100,https://www.walkscore.com/score/loc/lat=48.87152/lng=2.356887/
750814907,75,48.842148,2.315458,IME Notre École,750022238,AFG Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,53,1985,99,https://www.walkscore.com/score/loc/lat=48.84215/lng=2.315458/
750831703,75,48.886985,2.310381,IME de Saussure,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,34,1993,99,https://www.walkscore.com/score/loc/lat=48.88699/lng=2.310381/
750832230,75,48.888657,2.388272,IME Cerep,750720674,CEREP Fbg Poissonnière Paris,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,35,1990,98,https://www.walkscore.com/score/loc/lat=48.88866/lng=2.388272/
770003028,77,48.577831,2.556184,IME Vercors,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,31,2006,24,https://www.walkscore.com/score/loc/lat=48.57783/lng=2.556184/
770006278,77,48.265284,2.712048,IME Secondaire Nemours,770000404,EPMS de Chancepoix,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,40,2005,62,https://www.walkscore.com/score/loc/lat=48.26528/lng=2.712048/
770017374,77,48.852541,2.648426,IME Pôle Enfance Autisme,920001419,Fondation des Amis de l’Atelier,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,80,2009,66,https://www.walkscore.com/score/loc/lat=48.85254/lng=2.648426/
770017689,77,48.834565,2.672271,IME Éclair,770017671,AIME 77,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,12,2009,47,https://www.walkscore.com/score/loc/lat=48.83456/lng=2.672271/
770021301,77,48.80802,3.085496,IME de Villiers Secondaire à Aulnoy,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,24,N/D,84,https://www.walkscore.com/score/loc/lat=48.80802/lng=3.085496/
770021350,77,48.837214,2.706459,IME Éclair,770017671,AIME 77,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,20,2016,81,https://www.walkscore.com/score/loc/lat=48.83721/lng=2.706459/
770021384,77,48.841155,2.784622,IME Pole Enfance Autisme,920001419,Fondation des Amis de l’Atelier,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,17,2016,67,https://www.walkscore.com/score/loc/lat=48.84116/lng=2.784622/
770021921,77,48.555601,3.019746,IME Secondaire de l'EPMS du Provinois,770001071,EPMS du Provinois,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,15,2017,74,https://www.walkscore.com/score/loc/lat=48.5556/lng=3.019746/
770690014,77,48.852554,3.075288,IME de Villers,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,34,N/D,5,https://www.walkscore.com/score/loc/lat=48.85255/lng=3.075288/
770690022,77,48.411183,2.702028,IME La Sittelle,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,77,N/D,89,https://www.walkscore.com/score/loc/lat=48.41118/lng=2.702028/
770690055,77,48.363194,2.840843,IME Léopold Bellan la Sapinière,750720609,Fondation Léopold Bellan,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,120,1951,0,https://www.walkscore.com/score/loc/lat=48.36319/lng=2.840843/
770690071,77,48.710024,2.869636,IME EPMS Fontenay Tresigny,770000396,EPMS Fondation Hardy,19,Établissement Social et Médico-Social Départemental,Public,5,ARS établissements médico-soc. non financés dotation globale,156,1958,64,https://www.walkscore.com/score/loc/lat=48.71002/lng=2.869636/
770690139,77,48.845623,3.231985,IME la Tour,750050916,Fédération des APAJH,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,52,2005,61,https://www.walkscore.com/score/loc/lat=48.84562/lng=3.231985/
770690154,77,48.600667,2.584313,IME la Pépinière,770803732,ADAPEI 77,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,34,1938,24,https://www.walkscore.com/score/loc/lat=48.60067/lng=2.584313/
770690196,77,48.558,2.608506,IME le Reverdi,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,56,1964,41,https://www.walkscore.com/score/loc/lat=48.558/lng=2.608506/
770690204,77,48.515066,2.635786,IME l'Envolée,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,92,1971,75,https://www.walkscore.com/score/loc/lat=48.51507/lng=2.635786/
770690220,77,48.942193,2.688837,IME La Gabrielle,750720476,Mutualité Fonction Publique Action Santé,47,Société Mutualiste,Société Mutualiste,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,46,1975,77,https://www.walkscore.com/score/loc/lat=48.94219/lng=2.688837/
770690238,77,48.947096,2.687663,IME EPMS l'Ourcq,770000413,EPMS l’Ourcq,19,Établissement Social et Médico-Social Départemental,Public,58,ARS dotation forfait ou prix de journée globalisé hors CPOM,233,N/D,80,https://www.walkscore.com/score/loc/lat=48.9471/lng=2.687663/
770690253,77,48.392711,2.95337,IME Villa Marie Louise,750050916,Fédération des APAJH,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1975,0,https://www.walkscore.com/score/loc/lat=48.39271/lng=2.95337/
770690261,77,48.879142,2.578537,IME Michel de Montaigne,770815629,Association Gestion CPR pour handicapés,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1965,71,https://www.walkscore.com/score/loc/lat=48.87914/lng=2.578537/
770690303,77,48.802641,2.635555,IME des Grands Champs,920001419,Fondation des Amis de l’Atelier,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,157,1978,49,https://www.walkscore.com/score/loc/lat=48.80264/lng=2.635555/
770690352,77,48.974226,2.628943,IME l'Oasis,770016236,AEDE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,64,1979,36,https://www.walkscore.com/score/loc/lat=48.97423/lng=2.628943/
770814762,77,48.545265,3.299762,IME les Grattons de Provins,770001071,EPMS du Provinois,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,76,1992,27,https://www.walkscore.com/score/loc/lat=48.54527/lng=3.299762/
780000196,78,48.92151,2.020114,IME Emmanuel Marie,780804415,Handi Val de Seine association de gestion,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1994,49,https://www.walkscore.com/score/loc/lat=48.92151/lng=2.020114/
780009569,78,48.94952,2.178491,IME le Chemin des Lauris,780824611,APAJH Comité des Yvelines,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,65,2004,62,https://www.walkscore.com/score/loc/lat=48.94952/lng=2.178491/
780016812,78,48.770457,2.075382,IME Alphée,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,20,2002,71,https://www.walkscore.com/score/loc/lat=48.77046/lng=2.075382/
780018602,78,48.947999,2.017864,IME Notre École,750063521,Association Autisme en Île-de-France,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,39,2003,7,https://www.walkscore.com/score/loc/lat=48.948/lng=2.017864/
780018735,78,49.001616,1.643792,IME Amalthée,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,32,2012,42,https://www.walkscore.com/score/loc/lat=49.00162/lng=1.643792/
780020723,78,48.904022,2.045489,IME Agir et Vivre l'Autisme,750062234,Association Agir et Vivre l’Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,2010,63,https://www.walkscore.com/score/loc/lat=48.90402/lng=2.045489/
780610010,78,48.832542,2.128499,IME le Bel Air,780708293,Sauvegarde enfant adolescent adulte 78,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,77,1971,71,https://www.walkscore.com/score/loc/lat=48.83254/lng=2.128499/
780680104,78,48.770031,2.011366,IME La Rencontre,780825097,Association Delos APEI 78,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1970,48,https://www.walkscore.com/score/loc/lat=48.77003/lng=2.011366/
780690012,78,48.982179,2.058665,IME le Manoir,780824611,APAJH Comité des Yvelines,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,42,1967,58,https://www.walkscore.com/score/loc/lat=48.98218/lng=2.058665/
780690020,78,48.908534,2.175334,IME La Roseraie,780804472,Avenir APEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,50,1964,66,https://www.walkscore.com/score/loc/lat=48.90853/lng=2.175334/
780690038,78,48.897344,2.156092,IME de Pédagogie Curative,30007801,Reconnaissances,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,96,1963,80,https://www.walkscore.com/score/loc/lat=48.89734/lng=2.156092/
780690053,78,48.82071,1.98436,IME René Fontaine,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,36,1963,74,https://www.walkscore.com/score/loc/lat=48.82071/lng=1.98436/
780690061,78,48.716917,1.890808,IME le Moulin,780021929,HESTIA,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,27,1965,70,https://www.walkscore.com/score/loc/lat=48.71692/lng=1.890808/
780690087,78,48.634016,1.772758,IME le Castel,780021929,HESTIA,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,62,1967,20,https://www.walkscore.com/score/loc/lat=48.63402/lng=1.772758/
780690095,78,48.774994,2.161443,IME les Metz,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,62,1964,37,https://www.walkscore.com/score/loc/lat=48.77499/lng=2.161443/
780690137,78,48.82505,1.937144,IME Externat l'Escabelle,780024113,Centre Hospitalier de Plaisir,11,Établissement Public Départemental d'Hospitalisation,Public,5,ARS établissements médico-soc. non financés dotation globale,20,1966,37,https://www.walkscore.com/score/loc/lat=48.82505/lng=1.937144/
780690145,78,48.931784,2.044023,IME ASOIMEEP Poissy,780009528,ASOIMEEP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,77,1961,92,https://www.walkscore.com/score/loc/lat=48.93178/lng=2.044023/
780690152,78,48.803489,2.057932,IME Externat Saint Cyr L’École,780024113,Centre Hospitalier de Plaisir,11,Établissement Public Départemental d'Hospitalisation,Public,3,ARS établissements Publics de santé dotation globale,35,1975,75,https://www.walkscore.com/score/loc/lat=48.80349/lng=2.057932/
780690210,78,48.809776,2.136362,IME le Rondo,750721334,Croix Rouge Française,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,54,1960,93,https://www.walkscore.com/score/loc/lat=48.80978/lng=2.136362/
780690244,78,48.847262,2.114736,IME le Pré d'Orient,780708442,"Association pour l’insertion, l’éducation et les soins",60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1972,8,https://www.walkscore.com/score/loc/lat=48.84726/lng=2.114736/
780690269,78,49.013515,2.116224,IME les Papillons Blancs,780804472,Avenir APEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,46,1994,54,https://www.walkscore.com/score/loc/lat=49.01351/lng=2.116224/
780690293,78,48.997443,1.904992,IME Alfred Binet,780804415,Handi Val de Seine association de gestion,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,103,1972,74,https://www.walkscore.com/score/loc/lat=48.99744/lng=1.904992/
