Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert
770021301,77,48.80802,3.085496,IME de Villiers Secondaire à Aulnoy,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,24,N/D
770021350,77,48.837214,2.706459,IME Éclair,770017671,AIME 77,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,20,2016
770021384,77,48.841155,2.784622,IME Pole Enfance Autisme,920001419,Fondation des Amis de l’Atelier,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,17,2016
770021921,77,48.555601,3.019746,IME Secondaire de l'EPMS du Provinois,770001071,EPMS du Provinois,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,15,2017
770690014,77,48.852554,3.075288,IME de Villers,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,34,N/D
770690022,77,48.411183,2.702028,IME La Sittelle,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,77,N/D
770690055,77,48.363194,2.840843,IME Léopold Bellan la Sapinière,750720609,Fondation Léopold Bellan,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,120,1951
770690071,77,48.710024,2.869636,IME EPMS Fontenay Tresigny,770000396,EPMS Fondation Hardy,19,Établissement Social et Médico-Social Départemental,Public,5,ARS établissements médico-soc. non financés dotation globale,156,1958
770690139,77,48.845623,3.231985,IME la Tour,750050916,Fédération des APAJH,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,52,2005
770690154,77,48.600667,2.584313,IME la Pépinière,770803732,ADAPEI 77,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,34,1938
770690196,77,48.558,2.608506,IME le Reverdi,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,56,1964
770690204,77,48.515066,2.635786,IME l'Envolée,770700029,Fondation Ellen Poidatz,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,92,1971
770690220,77,48.942193,2.688837,IME La Gabrielle,750720476,Mutualité Fonction Publique Action Santé,47,Société Mutualiste,Société Mutualiste,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,46,1975
770690238,77,48.947096,2.687663,IME EPMS l'Ourcq,770000413,EPMS l’Ourcq,19,Établissement Social et Médico-Social Départemental,Public,58,ARS dotation forfait ou prix de journée globalisé hors CPOM,233,N/D
770690253,77,48.392711,2.95337,IME Villa Marie Louise,750050916,Fédération des APAJH,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1975
770690261,77,48.879142,2.578537,IME Michel de Montaigne,770815629,Association Gestion CPR pour handicapés,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,60,1965
