Numéro_FINESS,Département,latitude,longitude,Raison_Sociale,FINESS_Orga,RS_Orga,Code_statut,Lib_statut,Statut,Code_tarif,Lib_tarif,Capacité_totale,Date ouvert
930690094,93,48.926176,2.440548,IME Ladoucette,750720492,Société Philanthropique,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,121,1955
930690110,93,48.92455,2.548428,IME Livry-Gargan,930000807,Externat Médico-Pédagogique,21,Établissement Social et Médico-Social Communal,Public,5,ARS établissements médico-soc. non financés dotation globale,36,1964
930690136,93,48.852835,2.433973,IME Bernadette Coursol,940807563,Association APEI Papillons blancs – Vincennes,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,55,1964
930690169,93,48.90106,2.467204,IME Henri Wallon Noisy le Sec,930000823,Association EINA Noisy-le-Sec,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,72,1967
930690177,93,48.901838,2.514376,IME l'Excelsior,750720534,Vivre et devenir Villepinte St Michel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,100,1938
930690185,93,48.893319,2.525557,IME le Nid,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,35,1976
930690193,93,48.861588,2.491185,IME les 10 000 Rosiers,750050916,Fédération des APAJH,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,80,1969
930690227,93,48.983555,2.554122,IME B Guillez le Petit Orme,930813415,Association AGESTL,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1969
930690235,93,48.8932,2.507047,IME l'Edelweiss,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,40,1972
930690250,93,48.941809,2.347549,IME les Moulins Gémeaux,930017991,Les Moulins Gémeaux,26,Autre Établissement Public à Caractére Administratif,Public,5,ARS établissements médico-soc. non financés dotation globale,80,1971
930690268,93,48.884461,2.557433,IME Francois Eglem,930712724,Association ARPEI,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,89,1972
930690276,93,48.956145,2.369234,IME EMPro de La Résidence Sociale,920718459,ASS la Résidence sociale,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,34,1972
930690284,93,48.888549,2.416853,IME Louise Michel,930001888,APAJH Seine-saint-Denis,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,72,1972
930690326,93,48.908903,2.458272,IME le Tremplin,750720534,Vivre et devenir Villepinte St Michel,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,72,1967
930690342,93,48.908539,2.338058,IME Ambroise Croizat,930021399,AGIME,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,68,1975
930690359,93,48.955297,2.487791,IME Toulouse Lautrec,930813415,Association AGESTL,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,88,1976
930800362,93,48.844462,2.545881,IME Centre Jean Richepin,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,20,1997
930814439,93,48.95423,2.387186,EMP Henri Wallon Stains,930712815,Association EINA,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,N/D
930816921,93,48.9502,2.321699,IME Chaptal,920718459,ASS la Résidence sociale,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,38,1990
930817341,93,48.929118,2.468871,IME Jean Marc Itard,930001367,EPC Jean-Marc Itard,21,Établissement Social et Médico-Social Communal,Public,5,ARS établissements médico-soc. non financés dotation globale,47,1992
930817457,93,48.871182,2.453841,IMP Jean Macé Montreuil,930712716,Archipel Montreuil,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,30,1992
930817499,93,48.87771,2.456003,IME les Enfants Terribles,750022238,AFG Autisme,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,17,1993
940009988,94,48.751845,2.536437,IME Armonia,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,47,2007
940019995,94,48.810198,2.435628,IME l'Odyssée,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,20,2001
940020472,94,48.815804,2.492826,IME Centre Franchemont,750720690,Association Centre Franchemont,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,32,2005
940022981,94,48.803766,2.473833,IME A l’École Ted et Ses Amis,770017671,AIME 77,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,4,2018
940028608,94,48.796836,2.447325,IME Handi Répit,750001695,La vie à domicile XVI,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,9,2021
940690084,94,48.796799,2.46118,IME Anatole France,750015968,Groupe SOS Solidarités,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,30,1957
940690092,94,48.850691,2.453996,IME Fontenay,940721400,UDSM Fontenay-sous-bois,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,110,1967
940690100,94,48.775555,2.329066,IMPro Monique Guilbot,940721426,ADPED Fresnes,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,45,1969
940690118,94,48.778066,2.351667,IME les Lilas,940721426,ADPED Fresnes,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,59,1961
940690126,94,48.806937,2.357283,IMPro Seguin,940721533,APOGEI 94,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,35,1961
940690175,94,48.844077,2.495703,IME Bel Air,940721533,APOGEI 94,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,65,1960
940690183,94,48.808682,2.502956,IMPro ARERAM Jean Louis Calvino,930027024,ASS ARERAM,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,80,1965
940690191,94,48.793015,2.485326,IME Bords de Marne St Maur,940721533,APOGEI 94,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,65,1967
940690209,94,48.81311,2.474587,IME le Parc de l'Abbaye,940721384,AFASER,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,55,1965
940690225,94,48.76063,2.387649,IME Arc En Ciel Thiais,780020111,ARISSE,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,48,1962
940690241,94,48.727819,2.433148,IME l'Avenir,940721384,AFASER,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1961
940690266,94,48.799132,2.388797,IME Suzanne Brunel,940810328,Association ETAI Entraide par le travail,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,90,1970
940690282,94,48.823801,2.501323,EMP EMPro de Champigny Sur Marne,940721384,AFASER,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,117,1972
940690308,94,48.775816,2.468565,IME la Nichée Creteil,940721533,APOGEI 94,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,90,1972
940690316,94,48.80317,2.358301,IME le Guillant Villejuif,940807472,APAJH 94,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,98,1973
940690324,94,48.843358,2.416547,IME T Kitoi,940001019,Institut le Val Mandé,19,Établissement Social et Médico-Social Départemental,Public,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,66,1901
940711344,94,48.847382,2.52055,IME Léopold Bellan,750720609,Fondation Léopold Bellan,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,74,1950
940800147,94,48.77802,2.347181,IME IMPro Foyer Monique Guilbot,940721426,ADPED Fresnes,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,7,1976
940803836,94,48.769148,2.474036,IME Françoise Leloup,940807472,APAJH 94,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,43,1966
940804396,94,48.850792,2.453715,IME Centre Émile Ducommun,940721400,UDSM Fontenay-sous-bois,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,50,1984
940812654,94,48.751266,2.410751,IME Robert Desnos,940807472,APAJH 94,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,50,1989
950002048,95,49.002667,2.129269,IME La Chamade,950015255,Association HAARP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,63,2007
950002097,95,49.034544,2.018063,IME La Clé,240000265,Fondation John Bost,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,41,2002
950002220,95,50.990234,2.220086,IME Jacques Maraux,930019484,Association LADAPT,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,84,2001
950003079,95,49.109193,2.34591,IME Roland Bonnard,240000266,Fondation John Bost,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,60,2004
950011338,95,49.021184,2.292542,IME René Zazzo,950003319,Mutuelle la Mayotte,47,Société Mutualiste,Société Mutualiste,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,69,2009
950014308,95,49.077039,2.49886,IME Madeleine Bres (Annexe Montlignon),950003319,Mutuelle la Mayotte,47,Société Mutualiste,Société Mutualiste,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,30,2012
950040857,95,49.06107,2.11118,IME le Bois d'En Haut,950786863,APED l’Espoir,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,90,2015
950043042,95,49.003122,2.388356,IME La Boussole Bleue,920001419,Fondation des Amis de l’Atelier,63,Fondation,Fondation,5,ARS établissements médico-soc. non financés dotation globale,40,2020
950690099,95,49.118275,2.220706,IME l'Espoir,950786863,APED l’Espoir,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,80,1968
950690115,95,48.989695,2.186052,IME le Clos du Parisis,950015255,Association HAARP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,65,1970
950690172,95,48.984772,2.389113,IME Henri Wallon,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,84,1971
950690206,95,48.966662,2.226783,IME les Coteaux d'Argenteuil,950016402,APAJH 95,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,62,1973
950780056,95,48.9922,2.249799,IME le Clos Fleuri,950016402,APAJH 95,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,67,1930
950780817,95,48.986765,2.259196,IME Pro les Sources,950015255,Association HAARP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,37,1972
950781443,95,48.96838,2.392558,IME l'Espoir,930712393,AFDAEIM,61,Association Loi 1901 Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,96,1975
950783068,95,49.058458,2.067809,IME ANAIS d'Osny,750065591,Fondation ANAIS,63,Fondation,Fondation,57,ARS /ARS PCD  Dotation forfait ou prix de journée globalisé,88,1976
950786434,95,49.022129,2.377639,IME Daniel Seguret,750719312,Association Entraide Union,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,63,1979
950806448,95,48.989751,2.216676,EMP les Sources,950015255,Association HAARP,60,Association Loi 1901 non Reconnue d'Utilité Publique,Association,5,ARS établissements médico-soc. non financés dotation globale,20,1988
,,,,,,,,,,,,,
,,,,,,,,,,,MOYENNE,"53,3072916666667",
,,,,,,,,,,,MEDIANE,50,
,,,,,,,,,,,VARIANCE,"906,329161212914",
,,,,,,,,,,,ECART-TYPE,"30,1053012144525",
,,,,,,,,,,,Q1,34,
,,,,,,,,,,,Q3,"67,25",
,,,,,,,,,,,Écart interquartiles,"1,97794117647059",
,,,,,,,,,,,Min,4,
,,,,,,,,,,,Max,233,
